Match ID,Stage,Home ID,Home Team,Home Goals,Away Goals,Away ID,Away Team,Winner ID,Winner Name
"R8_M1","Round of 8","C2","Morocco","2","2","I1","France","Draw","Draw"
"R8_M2","Round of 8","I4","Norway","2","1","L1","England","I4","Norway"
"R8_M3","Round of 8","H1","Spain","2","1","G1","Belgium","H1","Spain"
"R8_M4_A","Round of 8","J1","Argentina","2","0","B4","Switzerland","J1","Argentina"
"R8_M4_B","Round of 8","J1","Argentina","2","1","K4","Colombia","J1","Argentina"
"R8_M4_C","Round of 8","G2","Egypt","1","1","B4","Switzerland","Draw","Draw"
"R8_M4_D","Round of 8","G2","Egypt","0","2","K4","Colombia","K4","Colombia"
